"","inf_times","x_coord","y_coord"
"1",1968,333.830000005797,254.917593797412
"2",1969,334.658409096443,254.067627678676
"3",1970,335.486818187088,253.253037723282
"4",1971,336.315227277734,252.490954569854
"5",1972,337.143636368379,251.781224343107
"6",1973,337.972045459025,251.118371779748
"7",1974,338.800454549671,250.495813794007
"8",1975,339.628863640316,249.914990017841
"9",1976,340.457272730962,249.41499340823
"10",1977,341.285681821608,249.083868887619
"11",1978,342.114090912253,249.001770407219
"12",1979,342.942500002899,249.181940587248
"13",1980,343.770909093544,249.590099402789
"14",1981,344.59931818419,250.183120092507
"15",1982,345.427727274835,250.920924506457
"16",1983,346.256136365481,251.76485566487
"17",1984,347.084545456127,252.667888431095
"18",1985,347.912954546772,253.557938016297
"19",1986,348.741363637418,254.340937191914
"20",1987,349.569772728063,254.911451248893
"21",1988,350.398181818709,255.149999653665
"22",1989,351.226590909355,254.962697933475
"23",1990,352.055,254.386357511424
"24",1991,352.883409090646,253.532039326102
"25",1992,353.711818181291,252.520065928912
"26",1993,354.540227271937,251.480953914768
"27",1994,355.368636362582,250.506654725037
"28",1995,356.197045453228,249.651634520148
"29",1996,357.025454543874,248.957249778777
"30",1997,357.853863634519,248.463030324474
"31",1998,358.682272725165,248.216106975881
"32",1999,359.51068181581,248.298593169305
"33",2000,360.339090906456,248.822425723547
"34",2001,361.167499997102,249.790948431787
"35",2002,361.995909087747,250.963849701732
"36",2003,362.824318178393,251.930029740517
"37",2004,363.652727269038,252.410008671489
"38",2005,364.481136359684,252.425878039773
"39",2006,365.30954545033,252.15786698939
"40",2007,366.137954540975,251.760467777815
"41",2008,366.966363631621,251.296804955042
"42",2009,367.794772722266,250.792103353551
"43",2010,368.623181812912,250.273355011509
"44",2011,369.451590903557,249.728872914924
"45",2012,370.279999994203,249.128635881724
"46",2013,371.108409084849,248.515225738006
"47",2014,371.936818175494,247.901815594288
"48",2015,372.76522726614,247.28840545057
