"","year","foi"
"1",1927,0.02
"2",1930,0.02
"3",1931,0.02
"4",1934,0.02
"5",1937,0.02
"6",1938,0.02
"7",1938,0.02
"8",1938,0.02
"9",1939,0.02
"10",1940,0.02
"11",1940,0.02
"12",1941,0.02
"13",1944,0.02
"14",1944,0.02
"15",1944,0.02
"16",1944,0.02
"17",1945,0.02
"18",1945,0.02
"19",1945,0.02
"20",1945,0.02
"21",1945,0.02
"22",1947,0.02
"23",1948,0.02
"24",1949,0.02
"25",1949,0.02
"26",1949,0.02
"27",1950,0.02
"28",1950,0.02
"29",1950,0.02
"30",1950,0.02
"31",1950,0.02
"32",1950,0.02
"33",1951,0.02
"34",1951,0.02
"35",1951,0.02
"36",1951,0.02
"37",1952,0.02
"38",1952,0.02
"39",1952,0.02
"40",1953,0.02
"41",1954,0.02
"42",1954,0.02
"43",1955,0.02
"44",1955,0.02
"45",1955,0.02
"46",1955,0.02
"47",1955,0.02
"48",1955,0.02
"49",1955,0.02
"50",1955,0.02
"51",1955,0.02
"52",1955,0.02
"53",1956,0.02
"54",1957,0.02
"55",1957,0.02
"56",1957,0.02
"57",1957,0.02
"58",1958,0.02
"59",1958,0.02
"60",1959,0.02
"61",1959,0.02
"62",1959,0.02
"63",1960,0.02
"64",1960,0.02
"65",1960,0.02
"66",1960,0.02
"67",1960,0.02
"68",1960,0.02
"69",1960,0.02
"70",1961,0.02
"71",1961,0.02
"72",1961,0.02
"73",1961,0.02
"74",1961,0.02
"75",1961,0.02
"76",1961,0.02
"77",1961,0.02
"78",1962,0.02
"79",1962,0.02
"80",1962,0.02
"81",1962,0.02
"82",1962,0.02
"83",1963,0.02
"84",1963,0.02
"85",1963,0.02
"86",1963,0.02
"87",1963,0.02
"88",1964,0.02
"89",1964,0.02
"90",1964,0.02
"91",1964,0.02
"92",1964,0.02
"93",1964,0.02
"94",1964,0.02
"95",1964,0.02
"96",1965,0.02
"97",1965,0.02
"98",1965,0.02
"99",1965,0.02
"100",1965,0.02
"101",1965,0.02
"102",1965,0.02
"103",1965,0.02
"104",1965,0.02
"105",1965,0.02
"106",1965,0.02
"107",1965,0.02
"108",1965,0.02
"109",1965,0.02
"110",1965,0.02
"111",1965,0.02
"112",1965,0.02
"113",1965,0.02
"114",1965,0.02
"115",1965,0.02
"116",1965,0.02
"117",1965,0.02
"118",1965,0.02
"119",1965,0.02
"120",1965,0.02
"121",1965,0.02
"122",1966,0.02
"123",1966,0.02
"124",1966,0.02
"125",1967,0.02
"126",1967,0.02
"127",1967,0.02
"128",1967,0.02
"129",1967,0.02
"130",1967,0.02
"131",1968,0.02
"132",1968,0.02
"133",1968,0.02
"134",1968,0.02
"135",1968,0.02
"136",1968,0.02
"137",1968,0.02
"138",1968,0.02
"139",1968,0.02
"140",1968,0.02
"141",1969,0.02
"142",1969,0.02
"143",1969,0.02
"144",1969,0.02
"145",1969,0.02
"146",1969,0.02
"147",1969,0.02
"148",1969,0.02
"149",1969,0.02
"150",1969,0.02
"151",1970,0.02
"152",1970,0.02
"153",1970,0.02
"154",1970,0.02
"155",1970,0.02
"156",1970,0.02
"157",1970,0.02
"158",1970,0.02
"159",1971,0.02
"160",1971,0.02
"161",1971,0.02
"162",1971,0.02
"163",1971,0.02
"164",1971,0.02
"165",1971,0.02
"166",1971,0.02
"167",1971,0.02
"168",1972,0.02
"169",1972,0.02
"170",1972,0.02
"171",1972,0.02
"172",1972,0.02
"173",1973,0.02
"174",1973,0.02
"175",1973,0.02
"176",1973,0.02
"177",1973,0.02
"178",1973,0.02
"179",1973,0.02
"180",1973,0.02
"181",1973,0.02
"182",1974,0.02
"183",1974,0.02
"184",1974,0.02
"185",1974,0.02
"186",1974,0.02
"187",1974,0.02
"188",1974,0.02
"189",1974,0.02
"190",1974,0.02
"191",1974,0.02
"192",1974,0.02
"193",1975,0.02
"194",1975,0.02
"195",1975,0.02
"196",1975,0.02
"197",1975,0.02
"198",1975,0.02
"199",1975,0.02
"200",1975,0.02
"201",1975,0.02
"202",1975,0.02
"203",1975,0.02
"204",1975,0.02
"205",1975,0.02
"206",1975,0.02
"207",1975,0.02
"208",1975,0.02
"209",1975,0.02
"210",1976,0.02
"211",1976,0.02
"212",1976,0.02
"213",1976,0.02
"214",1976,0.02
"215",1976,0.02
"216",1976,0.02
"217",1976,0.02
"218",1976,0.02
"219",1976,0.02
"220",1977,0.02
"221",1977,0.02
"222",1977,0.02
"223",1977,0.02
"224",1977,0.02
"225",1977,0.02
"226",1977,0.02
"227",1977,0.02
"228",1977,0.02
"229",1977,0.02
"230",1977,0.02
"231",1977,0.02
"232",1977,0.02
"233",1977,0.02
"234",1977,0.02
"235",1977,0.02
"236",1977,0.02
"237",1977,0.02
"238",1977,0.02
"239",1977,0.02
"240",1977,0.02
"241",1978,0.02
"242",1978,0.02
"243",1978,0.02
"244",1978,0.02
"245",1978,0.02
"246",1978,0.02
"247",1978,0.02
"248",1978,0.02
"249",1978,0.02
"250",1978,0.02
"251",1978,0.02
"252",1978,0.02
"253",1979,0.02
"254",1979,0.02
"255",1979,0.02
"256",1979,0.02
"257",1979,0.02
"258",1979,0.02
"259",1979,0.02
"260",1979,0.02
"261",1979,0.02
"262",1979,0.02
"263",1979,0.02
"264",1979,0.02
"265",1979,0.02
"266",1979,0.02
"267",1980,0.02
"268",1980,0.02
"269",1980,0.02
"270",1980,0.02
"271",1980,0.02
"272",1980,0.02
"273",1980,0.02
"274",1980,0.02
"275",1980,0.02
"276",1980,0.02
"277",1980,0.02
"278",1980,0.02
"279",1980,0.02
"280",1980,0.02
"281",1980,0.02
"282",1980,0.02
"283",1980,0.02
"284",1980,0.02
"285",1980,0.02
"286",1981,0.02
"287",1981,0.02
"288",1981,0.02
"289",1981,0.02
"290",1981,0.02
"291",1981,0.02
"292",1981,0.02
"293",1981,0.02
"294",1981,0.02
"295",1981,0.02
"296",1981,0.02
"297",1981,0.02
"298",1981,0.02
"299",1981,0.02
"300",1981,0.02
"301",1981,0.02
"302",1981,0.02
"303",1982,0.02
"304",1982,0.02
"305",1982,0.02
"306",1982,0.02
"307",1982,0.02
"308",1982,0.02
"309",1982,0.02
"310",1982,0.02
"311",1982,0.02
"312",1982,0.02
"313",1982,0.02
"314",1982,0.02
"315",1982,0.02
"316",1982,0.02
"317",1983,0.02
"318",1983,0.02
"319",1983,0.02
"320",1983,0.02
"321",1983,0.02
"322",1983,0.02
"323",1983,0.02
"324",1983,0.02
"325",1983,0.02
"326",1983,0.02
"327",1983,0.02
"328",1983,0.02
"329",1983,0.02
"330",1983,0.02
"331",1983,0.02
"332",1983,0.02
"333",1983,0.02
"334",1983,0.02
"335",1983,0.02
"336",1983,0.02
"337",1983,0.02
"338",1983,0.02
"339",1983,0.02
"340",1983,0.02
"341",1983,0.02
"342",1984,0.02
"343",1984,0.02
"344",1984,0.02
"345",1984,0.02
"346",1984,0.02
"347",1984,0.02
"348",1984,0.02
"349",1985,0.02
"350",1985,0.02
"351",1985,0.02
"352",1985,0.02
"353",1985,0.02
"354",1985,0.02
"355",1985,0.02
"356",1985,0.02
"357",1985,0.02
"358",1985,0.02
"359",1985,0.02
"360",1985,0.02
"361",1985,0.02
"362",1985,0.02
"363",1985,0.02
"364",1985,0.02
"365",1985,0.02
"366",1985,0.02
"367",1985,0.02
"368",1985,0.02
"369",1985,0.02
"370",1985,0.02
"371",1985,0.02
"372",1985,0.02
"373",1985,0.02
"374",1985,0.02
"375",1985,0.02
"376",1985,0.02
"377",1985,0.02
"378",1985,0.02
"379",1985,0.02
"380",1985,0.02
"381",1985,0.02
"382",1985,0.02
"383",1985,0.02
"384",1985,0.02
"385",1985,0.02
"386",1985,0.02
"387",1985,0.02
"388",1985,0.02
"389",1985,0.02
"390",1985,0.02
"391",1985,0.02
"392",1985,0.02
"393",1985,0.02
"394",1985,0.02
"395",1985,0.02
"396",1985,0.02
"397",1985,0.02
"398",1986,0.02
"399",1986,0.02
"400",1986,0.02
"401",1986,0.02
"402",1986,0.02
"403",1986,0.02
"404",1986,0.02
"405",1986,0.02
"406",1986,0.02
"407",1986,0.02
"408",1986,0.02
"409",1986,0.02
"410",1986,0.02
"411",1986,0.02
"412",1987,0.02
"413",1987,0.02
"414",1987,0.02
"415",1987,0.02
"416",1987,0.02
"417",1987,0.02
"418",1987,0.02
"419",1987,0.02
"420",1987,0.02
"421",1987,0.02
"422",1987,0.02
"423",1987,0.02
"424",1987,0.02
"425",1987,0.02
"426",1987,0.02
"427",1987,0.02
"428",1987,0.02
"429",1987,0.02
"430",1987,0.02
"431",1987,0.02
"432",1987,0.02
"433",1987,0.02
"434",1987,0.02
"435",1987,0.02
"436",1987,0.02
"437",1987,0.02
"438",1987,0.02
